prodId,prodNome,prodMarca,prodPrecoCompra,prodPrecoVenda,prodPercentual,prodQtd,prodTipo
266,LENTE VS1.74 STYLIS CRIZAL C4,60,"1050,00","2100,00",100,3,PRODUTO
267,LENTE VS1.67 STYLIS CRIZAL C2,60,"600,00","1200,00",100,4,PRODUTO
268,LENTE VS1.74 STYLIS1.74 CRIZAL C2,60,"1100,00","2200,00",100,4,PRODUTO
269,LENTE VS STYLIS1.67CZ4 TRANT,1,"900,00","1800,00",100,3,
270,LENTE VS1.67 STYLIS TRANSIT CRIZAL C4,60,"1426,00","2852,00",100,3,PRODUTO
271,LENTE VS1.59 TRANS CRIZAL C4,60,"900,00","1800,00",100,3,PRODUTO
272,LENTE VS1.49 CRIZAL C-4,60,"440,00","880,00",100,3,PRODUTO
273,LENTE VS1.49 TRANT VII CRIZAL C-2,60,"560,00","1120,00",100,3,PRODUTO
274,LENTE VS1.59 TRANT VII C2,60,"607,00","1214,00",100,3,PRODUTO
275,LENTE VS1.49 CRIZAL C-2,60,"288,00","576,00",100,3,PRODUTO
276,LENTE VS1.49 TRANT VII CRIZAL C-4,60,"742,00","1484,00",100,3,PRODUTO
277,LENTE VS1.49 TRANT VII C-2,60,"240,00","480,00",100,4,PRODUTO
278,LENTE VS1.74 STYLIS CRIZAL C6,60,"1672,00","3344,00",100,4,PRODUTO
279,LENTE VS1.67 STYLIS TRANSIT CRIZAL C6,60,"1583,00","3166,00",100,4,PRODUTO
280,LENTE VS1.67 STYLIS CRIZAL C6,60,"911,00","1822,00",100,3,PRODUTO
281,LENTE VS1.59 TRANSIT CRIZAL C6,60,"1177,00","2354,00",100,2,PRODUTO
282,LENTE VS1.59 TRANS C6,60,"793,00","1586,00",100,3,PRODUTO
283,LENTE VS1.59 CRIZAL C6,60,"520,00","1040,00",100,2,PRODUTO
284,LENTE VS1.59 INC C-6,60,"256,00","512,00",100,3,PRODUTO
285,LENTE VS1.49 TRANST CRIZAL C-6,60,"550,00","1100,00",100,2,PRODUTO
286,LENTE VS1.49 TRANT C-6,60,"286,00","572,00",100,4,PRODUTO
287,LENTE VARILUX CONF1.5 CRIZAL EASY PRO,60,"1250,00","2500,00",100,12,PRODUTO
288,LENTE VARILUX PHYSIO CZ EASY PRO,60,"2090,00","4180,00",100,9,PRODUTO
289,LENTE P VARILUX POLY T/CZ,60,"1655,00","3310,00",100,3,PRODUTO
290,LENTE P VARILUX CONF POLY TRAN,60,"1350,00","2700,00",100,3,PRODUTO
291,LENTE P VARILUX POLY POLARZ/CZ,60,"853,00","1706,00",100,4,PRODUTO
292,LENTE P VARILUX POLY POLARZ/INC,60,"655,00","1310,00",100,2,PRODUTO
293,LENTE P VARILUX POLY/CZ,60,"775,00","1550,00",100,3,PRODUTO
294,LENTE VARILUX LIBET360 POLY TRANST CZ SAPPHIRE,60,"1820,00","3640,00",100,2,PRODUTO
295,LENTE VARILUX TRANS,1,"777,50","1555,00",100,4,
296,LENTE P VARILUX LIB POLY/CZ,60,"632,50","1265,00",100,3,PRODUTO
297,LENTE P VARILUX POLY/INC,60,"330,00","660,00",100,2,PRODUTO
298,LENTE P VARILUX LIB POLY T/CZ,60,"1425,00","2850,00",100,3,PRODUTO
299,LENTE P VARILUX LIB POLY/INC,60,"1120,00","2240,00",100,3,PRODUTO
300,LENTE PR HAYTEK 1.50 ACAB AR,88,"150,00","300,00",100,17,PRODUTO
301,LENTE BIF. ULTEX TRANT II,60,"250,00","500,00",100,8,PRODUTO
302,LENTE P GT2/AR-MAR,63,"325,00","650,00",100,3,PRODUTO
303,LENTE PR ZEISS GT21.59 FOTOFUSION AR DURAV CHROME UV,63,"1500,00","3000,00",100,9,PRODUTO
304,LENTE P GT2 POLY/AR-PLATINUM,63,"657,50","1315,00",100,3,PRODUTO
305,LENTE P 1.50 GT2 FOTO/AR-PLATINUM,63,"940,00","1880,00",100,2,PRODUTO
306,LENTE GT2 1.60 AR DURAVISION CHROME UV,63,"1050,00","2100,00",100,12,PRODUTO
307,LENTE P GT2/AR-PLATINUM,63,"582,50","1165,00",100,3,PRODUTO
308,LENTE P GT21.67 FOTO/AR-PLATINUM,63,"1245,00","2490,00",100,2,PRODUTO
309,LENTE P GT2 POLY FOTO/INC,63,"682,50","1365,00",100,2,PRODUTO
310,LENTE P GT21.67 FOTO/AR-MAR,63,"987,50","1975,00",100,3,PRODUTO
311,LENTE P GT2 POLY FOTO/AR-MAR,63,"757,50","1515,00",100,5,PRODUTO
312,LENTE P 1.50 GT2 FOTO/AR-MAR,63,"800,00","1600,00",100,7,PRODUTO
313,LENTE P GT2 POLY AR-MAR,63,"400,00","800,00",100,3,PRODUTO
